symbol,annual_return,volatility,sharpe,sortino,calmar,max_drawdown,var_95,cvar_95,alpha,beta
ADANIPORTS,0.1325,0.4821,0.1503,0.1739,0.1444,-0.9174,0.039,0.0633,-0.0114,1.1799
ASIANPAINT,0.2027,0.3549,0.4022,0.391,0.2192,-0.9248,0.0246,0.0424,0.0814,0.5309
AXISBANK,0.2967,0.4848,0.4883,0.6174,0.349,-0.8502,0.0416,0.0635,0.0807,1.3497
BAJAJ-AUTO,0.2084,0.3388,0.4381,0.5132,0.3479,-0.5992,0.0271,0.0453,0.079,0.8571
BAJAJFINSV,0.3231,0.4009,0.6563,0.9244,0.3723,-0.8679,0.0349,0.0557,0.1914,1.0238
BAJFINANCE,0.3899,0.4866,0.678,0.8205,0.418,-0.9328,0.0385,0.063,0.2276,0.9551
BHARTIARTL,0.2143,0.3999,0.3857,0.5503,0.273,-0.7847,0.0351,0.0518,0.0307,0.901
BPCL,0.123,0.4682,0.1346,0.1592,0.1591,-0.7731,0.0387,0.0646,-0.0472,0.9535
BRITANNIA,0.1507,0.3357,0.2702,0.2801,0.1765,-0.8536,0.0242,0.0398,0.0411,0.4546
CIPLA,0.0818,0.3871,0.0563,0.0589,0.0918,-0.8907,0.0293,0.0499,-0.0607,0.7132
COALINDIA,-0.0473,0.2983,-0.3596,-0.5334,-0.063,-0.7507,0.0292,0.0413,-0.1517,0.796
DRREDDY,0.1331,0.369,0.1982,0.2277,0.1637,-0.8131,0.0304,0.0519,-0.0007,0.6383
EICHERMOT,0.347,0.4804,0.5975,0.7475,0.3699,-0.9382,0.0373,0.0596,0.1759,0.9623
GAIL,0.1216,0.4031,0.1527,0.1839,0.1393,-0.8723,0.0331,0.0548,-0.0758,1.005
GRASIM,0.1562,0.3956,0.2433,0.2744,0.169,-0.9243,0.0326,0.0535,-0.0169,0.9789
HCLTECH,0.1212,0.5163,0.1185,0.1332,0.1251,-0.9682,0.0437,0.0764,-0.0754,1.1664
HDFC,0.2112,0.4142,0.3651,0.4096,0.2592,-0.8147,0.0325,0.0537,0.0416,0.9482
HDFCBANK,0.199,0.3805,0.3652,0.3879,0.2364,-0.8418,0.028,0.0479,0.0334,0.913
HEROMOTOCO,0.1376,0.3882,0.1999,0.2367,0.1512,-0.9099,0.0329,0.0502,-0.0061,0.724
HINDALCO,0.1161,0.4707,0.1191,0.1411,0.1191,-0.9746,0.0418,0.0632,-0.0909,1.271
HINDUNILVR,0.1107,0.3577,0.1419,0.1529,0.1146,-0.9662,0.0273,0.0435,-0.0247,0.6522
ICICIBANK,0.2348,0.4759,0.3673,0.4593,0.2615,-0.898,0.0396,0.0637,0.0196,1.3424
INDUSINDBK,0.3078,0.5071,0.4888,0.657,0.3617,-0.8511,0.0416,0.0698,0.0498,1.4494
INFY,0.03,0.4769,-0.0628,-0.0607,0.031,-0.9688,0.0331,0.067,-0.1351,0.9099
IOC,0.0478,0.421,-0.0291,-0.0325,0.0525,-0.91,0.0337,0.0568,-0.1156,0.8939
ITC,0.0812,0.3913,0.0541,0.0534,0.0863,-0.9405,0.0285,0.05,-0.0635,0.7326
JSWSTEEL,0.2378,0.5232,0.3397,0.401,0.2572,-0.9245,0.0442,0.069,0.0141,1.5226
KOTAKBANK,0.2596,0.5195,0.3842,0.4186,0.2918,-0.8895,0.0389,0.07,0.0237,1.2875
LT,0.1387,0.4094,0.1922,0.2171,0.1584,-0.8753,0.0328,0.0546,-0.066,1.1966
MARUTI,0.2684,0.3448,0.6045,0.8984,0.4376,-0.6134,0.0317,0.0476,0.0662,1.0349
MM,0.1312,0.4419,0.1612,0.1879,0.1425,-0.9208,0.0374,0.0622,-0.0659,1.1862
NESTLEIND,0.1979,0.2423,0.5694,0.8902,0.6109,-0.324,0.0215,0.0321,0.1075,0.4843
NTPC,0.0644,0.3019,0.0147,0.0212,0.0881,-0.7316,0.0276,0.0426,-0.0915,0.8451
ONGC,0.0742,0.4168,0.034,0.0388,0.0773,-0.9596,0.0338,0.056,-0.1041,1.0234
POWERGRID,0.103,0.2971,0.1446,0.2021,0.1606,-0.6412,0.0259,0.0414,-0.018,0.8188
RELIANCE,0.1782,0.3815,0.3099,0.3584,0.2256,-0.7901,0.0308,0.0519,-0.0071,1.0845
SBIN,0.1547,0.4261,0.2222,0.256,0.1617,-0.9568,0.0359,0.0549,-0.0469,1.2247
SHREECEM,0.3823,0.3897,0.8271,1.2961,0.478,-0.7997,0.0354,0.051,0.2005,0.8916
SUNPHARMA,0.1006,0.4623,0.0879,0.0859,0.1109,-0.9071,0.0319,0.0608,-0.0461,0.7501
TATAMOTORS,0.158,0.4881,0.2008,0.2515,0.166,-0.9522,0.0431,0.0663,-0.0617,1.3818
TATASTEEL,0.1898,0.4419,0.2937,0.4092,0.2234,-0.8495,0.0416,0.0629,-0.037,1.4424
TCS,0.1522,0.3769,0.2445,0.2519,0.1854,-0.8206,0.0277,0.0499,-0.0012,0.7779
TECHM,0.1616,0.4443,0.2286,0.2607,0.1807,-0.8943,0.0355,0.0594,0.0115,0.9705
TITAN,0.304,0.5,0.4881,0.5974,0.3144,-0.9669,0.0405,0.0636,0.1126,1.1368
ULTRACEMCO,0.249,0.3326,0.568,0.8704,0.3201,-0.7778,0.0306,0.045,0.0777,0.9315
UPL,0.1486,0.4771,0.1857,0.2091,0.1606,-0.9253,0.0379,0.0623,-0.0201,1.0144
VEDL,0.2751,0.5684,0.3783,0.4669,0.279,-0.9858,0.0476,0.0743,0.0551,1.3859
WIPRO,0.0549,0.4859,-0.0106,-0.0114,0.0558,-0.9831,0.0389,0.0717,-0.1317,1.0947
ZEEL,0.0545,0.5258,-0.0105,-0.0139,0.0568,-0.9596,0.0472,0.077,-0.1419,1.18
